Event,White,Black,Result,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,TimeControl,Termination,AN
 Classical ,rodrigokenji,kimosd,0-1,1457,1869,-3.0,2.0,A84,1200+5,Normal,1. d4 e6 2. c4 f5 3. Nf3 Be7 4. Nc3 Nf6 5. Bg5 Ne4 6. Bxe7 Qxe7 7. Nxe4 fxe4 8. Ne5 O-O 9. e3 d6 10. Ng4 e5 11. dxe5 dxe5 12. Be2 Qb4+ 13. Kf1 Nc6 14. Nxe5 Nxe5 15. f4 Nc6 16. Qd5+ Kh8 17. Bg4 Bxg4 18. h4 Qd6 19. Qxd6 cxd6 20. Rd1 Rad8 21. Kf2 Bxd1 22. Rxd1 Ne5 23. c5 Nd3+ 24. Ke2 dxc5 25. b4 c4 0-1
 Classical ,jakarta95,mosa6,0-1,1625,1993,-3.0,3.0,C34,600+0,Normal,1. e4 e5 2. f4 exf4 3. Nf3 Nc6 4. Bc4 d6 5. O-O Nf6 6. Nc3 Be6 7. Bxe6 fxe6 8. d4 Be7 9. e5 dxe5 10. dxe5 Nd5 11. Nxd5 Qxd5 12. Qxd5 exd5 13. Bxf4 O-O 14. Ng5 Bxg5 15. Bxg5 Nxe5 16. Rxf8+ Rxf8 17. Rf1 Rxf1+ 18. Kxf1 Nc4 19. b3 Na3 20. c3 Nb5 21. c4 dxc4 22. bxc4 Nd6 23. Bf4 Nxc4 24. Bxc7 a6 25. a4 Kf7 26. a5 Ke6 27. Ke2 Kd7 28. Kd3 Kxc7 29. Kxc4 Kc6 30. g3 h5 31. h3 b5+ 32. Kb4 g5 33. h4 gxh4 34. gxh4 Kd5 35. Kc3 Kc5 36. Kb3 b4 37. Kc2 Kb5 38. Kb3 Kxa5 39. Ka2 Kb5 40. Kb3 a5 41. Kc2 a4 42. Kb1 Kc4 43. Kc2 b3+ 44. Kb1 Kd4 45. Kb2 Ke4 46. Kb1 Kf4 0-1
 Classical ,piripinzilina,Aron-Nimcovic,1-0,1577,1875,21.0,-19.0,D02,600+0,Normal,1. d4 Nc6 2. Nf3 d5 3. e3 f5 4. Bb5 Qd6 5. Bxc6+ bxc6 6. Ne5 Nf6 7. Nc3 Be6 8. O-O Rb8 9. Qe2 Ne4 10. Qh5+ g6 11. Nxg6 Bf7 12. Nxe4 Bxg6 13. Nxd6+ cxd6 14. Qg5 h6 1-0
 Classical ,sergiopocosdecaldas,mobi68,0-1,1673,1950,-4.0,4.0,C41,600+5,Normal,1. e4 e5 2. Nf3 d6 3. h3 Nf6 4. Nc3 Be7 5. d4 exd4 6. Nxd4 O-O 7. Bg5 Nbd7 8. Qf3 Ne5 9. Qg3 c5 10. Nf5 Bxf5 11. exf5 Nh5 12. Bxe7 Qxe7 13. Qh2 Nf3+ 0-1
 Classical ,knight100rook,zapador,0-1,1634,1972,-4.0,3.0,A48,600+0,Normal,1. d4 Nf6 2. Nf3 g6 3. Bf4 Bg7 4. Qd2 c5 5. dxc5 Ne4 6. Qb4 Nc6 7. Qxe4 Bxb2 8. Ne5 Bxa1 9. Nxc6 dxc6 10. Be5 Bf5 11. Qe3 Bxe5 12. Qxe5 O-O 13. e4 f6 14. Bc4+ Kg7 15. Qf4 Qd4 0-1
 Classical ,ivanbcee04,giovanniarena,0-1,1625,1837,-5.0,8.0,B21,300+5,Normal,1. e4 c5 2. d4 cxd4 3. Bc4 Nc6 4. Ne2 d6 5. Nxd4 Nf6 6. Nxc6 bxc6 7. Bg5 e6 8. O-O Be7 9. Re1 e5 10. Qf3 O-O 11. Nd2 h6 12. Bxh6 gxh6 13. Qg3+ Kh7 14. Nf3 Rg8 15. Qh4 Rg4 16. Ng5+ Kg6 17. Nxf7 Rxh4 18. Nxd8 Bxd8 19. Rad1 d5 20. exd5 Rxc4 21. dxc6 Ba5 22. b3 Rxc2 23. Rxe5 Rxa2 24. h4 Bb6 25. h5+ Nxh5 26. Rd6+ Nf6 27. Re8 Bxf2+ 28. Kh2 Kf5 29. Rf8 Bh4 30. Rd5+ Ke6 31. Rd4 Bg5 32. c7 Rd2 33. Rdd8 Rxd8 34. cxd8=Q Ng4+ 35. Kg3 Bxd8 36. Rxd8 Ke7 37. Rh8 Nf6 38. Rxh6 Bb7 39. Rh4 Rg8+ 40. Kf2 Rxg2+ 41. Ke3 Rg3+ 42. Kd4 Rg4+ 43. Rxg4 Nxg4 44. Kc5 Kd7 45. b4 Kc7 46. b5 Ne5 47. Kb4 Nd7 48. Ka5 Nc5 49. Kb4 Nd7 50. Ka5 Bd5 51. Ka6 Kb8 52. Ka5 Kb7 53. Kb4 Kb6 54. Ka4 Bc4 55. Kb4 Bxb5 56. Kc3 Kc5 57. Kb3 a5 58. Ka3 Ne5 59. Kb3 Nc4 60. Kc3 a4 61. Kc2 Kb4 62. Kb1 Kb3 63. Ka1 Ne3 64. Kb1 Bc4 65. Ka1 Bd5 66. Kb1 Be4+ 67. Ka1 Nc2+ 68. Kb1 Nb4+ 69. Ka1 Bf3 70. Kb1 Nc2 71. Kc1 a3 72. Kb1 a2+ 73. Kc1 a1=Q+ 74. Kd2 Qe1+ 75. Kd3 Qe2# 0-1
 Classical ,Moaaz88,mazorra,1-0,1649,1842,20.0,-15.0,C25,600+0,Normal,1. e4 e5 2. Nc3 Bc5 3. d4 exd4 4. Na4 Bb6 5. Nxb6 cxb6 6. Qxd4 Qf6 7. Qxf6 Nxf6 8. f3 Nc6 9. Bd2 d5 10. Bb5 a6 11. Bxc6+ bxc6 12. Bg5 dxe4 13. Bxf6 gxf6 14. fxe4 Bg4 15. b3 O-O-O 16. c3 Rhe8 17. h3 Rxe4+ 18. Kf2 Be6 19. Nf3 Bd5 20. c4 Be6 21. a4 Rd3 22. Rab1 Rf4 23. Rhd1 Rxd1 24. Rxd1 Bf5 25. Kg3 Re4 26. Nd4 Re3+ 27. Kf2 Re5 28. Nxc6 Rc5 29. Ne7+ Kb7 30. Rd5 Bc2 31. Rd7+ Rc7 32. Rxc7+ Kxc7 33. Nd5+ Kc6 34. Nb4+ Kc5 35. Nxc2 f5 36. Ke3 h5 37. Kf4 b5 38. cxb5 axb5 39. Kxf5 bxa4 40. bxa4 Kc4 41. a5 Kb5 42. Kf6 Kxa5 43. Kxf7 Kb5 44. g4 hxg4 45. hxg4 Kc5 46. g5 Kd5 47. g6 Ke5 48. g7 Ke4 49. g8=Q Kd3 50. Qg6+ Kc4 51. Ke6 Kc5 52. Ke5 Kc4 53. Qd6 Kc3 54. Ne3 Kb3 55. Qc6 Kb4 56. Kd4 Kb3 57. Qc5 Kb2 58. Kd3 Kb3 59. Qb5+ Ka3 60. Kc4 Ka2 61. Qb8 Ka3 62. Nd5 Ka2 63. Kc3 Ka1 64. Kc2 Ka2 65. Qa8# 1-0
 Classical ,mottafilho,mtbchess2,0-1,1503,1874,-2.0,3.0,C24,600+0,Time forfeit,1. e4 e5 2. Bc4 Nf6 3. d3 h6 4. Nc3 c6 5. Nf3 d6 6. O-O a5 7. a3 b5 8. Ba2 a4 9. d4 Be7 10. dxe5 dxe5 11. Qxd8+ Bxd8 12. Nxe5 O-O 13. Bxf7+ Rxf7 14. Nxf7 Kxf7 15. Rd1 Ba5 16. b4 axb3 17. Rd8 Bxc3 18. Rxc8 Bxa1 0-1
 Classical ,luisan,AAKAA,0-1,1513,1834,-4.0,3.0,C41,540+5,Normal,1. e4 e5 2. Nf3 d6 3. Bc4 Bg4 4. Nc3 Nf6 5. h3 Bxf3 6. Qxf3 a6 7. Nd5 Nxd5 8. Bxd5 Qf6 9. Bxb7 Qxf3 10. gxf3 Ra7 11. Bd5 Be7 12. d3 O-O 13. h4 Kh8 14. h5 f5 15. h6 g6 16. exf5 Rxf5 17. Be6 Rxf3 18. Be3 c5 19. c3 Rf6 20. Bd5 Nd7 21. O-O-O Nb6 22. Bg2 Rd7 23. b3 Bf8 24. Bc6 Rdf7 25. f3 d5 26. Be8 Rc7 27. b4 Re6 28. Bxg6 Rxg6 29. bxc5 Nd7 30. a4 Bxc5 31. Bd2 Ba3+ 32. Kc2 Rb7 33. Rb1 Rxb1 34. Kxb1 Rb6+ 35. Ka1 Nc5 36. Be1 Nxd3 37. Bh4 Bb2+ 38. Ka2 Bxc3 39. Bd8 Rb2+ 40. Ka3 Rf2 41. Rg1 Rxf3 42. Kb3 Bd4 43. a5 e4 44. Rg5 e3 45. Rxd5 Nc5+ 46. Kc4 Ne6 47. Bh4 e2 48. Kb4 Bc3+ 49. Kc4 e1=Q 50. Bxe1 Bxe1 51. Re5 Rf4+ 52. Kd5 Nc7+ 53. Kc6 Bxa5 54. Kb7 Rf6 55. Rxa5 Ne8 56. Rh5 Kg8 57. Rg5+ Kf8 58. Rh5 Kf7 59. Kc8 Kg6 60. Rh1 Kg5 61. Kd8 Re6 62. Kd7 Re4 63. Rh2 a5 64. Kc6 a4 65. Rg2+ Kxh6 66. Ra2 Kg5 67. Kb5 h5 68. Rg2+ Rg4 69. Re2 Nf6 70. Re5+ Kf4 71. Re6 Ne4 72. Kxa4 h4 73. Re8 h3 74. Rf8+ Kg3 75. Rf1 h2 76. Ra1 Kg2 77. Ra2+ Nf2+ 78. Kb3 h1=Q 79. Re2 Qb1+ 80. Kc3 Qb4+ 81. Kc2 Rc4# 0-1
 Classical ,miou,damien76600,0-1,1657,1802,-6.0,7.0,D00,600+0,Time forfeit,1. d4 { [%eval 0.12] } 1... d5 { [%eval 0.1] } 2. e4?! { [%eval -0.49] } 2... dxe4 { [%eval -0.36] } 3. f3 { [%eval -0.84] } 3... exf3 { [%eval -0.41] } 4. Qxf3?! { [%eval -0.91] } 4... Nf6 { [%eval -1.04] } 5. Nc3 { [%eval -0.89] } 5... e6 { [%eval -0.62] } 6. Be3 { [%eval -0.75] } 6... Bb4 { [%eval -0.59] } 7. Ne2 { [%eval -0.65] } 7... O-O { [%eval -0.59] } 8. Bg5 { [%eval -0.96] } 8... Nbd7 { [%eval -0.68] } 9. O-O-O { [%eval -0.71] } 9... h6 { [%eval -0.75] } 10. Bh4 { [%eval -0.84] } 10... a6 { [%eval -0.39] } 11. Ng3? { [%eval -1.76] } 11... Qe8? { [%eval -0.67] } 12. Nce4 { [%eval -1.05] } 12... Nxe4 { [%eval -0.69] } 13. Nxe4 { [%eval -0.6] } 13... b5?! { [%eval 0.28] } 14. Bd3? { [%eval -1.18] } 14... Be7? { [%eval 0.25] } 15. Qh5? { [%eval -1.19] } 15... Bf6?? { [%eval 5.43] } 16. Bxf6?! { [%eval 4.86] } 16... Nxf6?? { [%eval 16.44] } 17. Nxf6+ { [%eval 16.09] } 17... gxf6?! { [%eval #10] } 18. Qxh6 { [%eval #9] } 18... f5 { [%eval 16.75] } 19. Rhf1 { [%eval 15.23] } 19... b4?! { [%eval #4] } 20. Rf4 { [%eval #3] } 20... f6 { [%eval #3] } 21. Rh4?? { [%eval 6.97] } 21... Qe7? { [%eval 8.58] } 22. Qh8+ { [%eval 8.4] } 22... Kf7 { [%eval 8.46] } 23. Rh7+?? { [%eval 2.68] } 23... Ke8?? { [%eval 8.79] } 24. Rxe7+ { [%eval 8.57] } 24... Kxe7 { [%eval 8.4] } 25. Qh7+?! { [%eval 7.52] } 25... Ke8? { [%eval 14.86] } 26. Re1 { [%eval 14.41] } 26... c6 { [%eval 23.02] } 27. Bxf5 { [%eval 20.27] } 27... Rb8?! { [%eval #6] } 28. Bxe6 { [%eval #5] } 28... Rb7 { [%eval #4] } 29. Bf7+? { [%eval 7.43] } 29... Kd8 { [%eval 6.86] } 30. Qg6 { [%eval 6.86] } 30... Rbxf7 { [%eval 6.57] } 31. d5?! { [%eval 5.79] } 31... c5?? { [%eval 11.19] } 32. d6?? { [%eval 5.3] } 32... c4?? { [%eval 9.24] } 33. Re7?? { [%eval 5.23] } 33... Rxe7 { [%eval 5.23] } 34. dxe7+ { [%eval 5.09] } 34... Kxe7 { [%eval 5.09] } 35. Qe4+ { [%eval 4.98] } 35... Be6?! { [%eval 5.76] } 36. Qb7+ { [%eval 5.5] } 36... Bd7 { [%eval 5.95] } 37. Qxa6? { [%eval 4.82] } 37... c3 { [%eval 4.98] } 38. Qc4 { [%eval 4.64] } 38... Rd8? { [%eval 5.76] } 39. bxc3? { [%eval 4.73] } 39... Be6? { [%eval 6.03] } 40. Qxb4+ { [%eval 5.82] } 40... Kf7 { [%eval 5.98] } 41. Kb2 { [%eval 5.84] } 41... Rd2 { [%eval 6.08] } 42. Qb7+ { [%eval 5.75] } 42... Kg6 { [%eval 5.98] } 43. Qe4+ { [%eval 5.67] } 43... Bf5 { [%eval 5.74] } 44. Qf3 { [%eval 5.62] } 44... Rxc2+ { [%eval 5.56] } 45. Ka3?! { [%eval 5.05] } 45... Kf7?? { [%eval 9.53] } 46. Kb4?? { [%eval 5.16] } 46... Rxa2?? { [%eval 8.21] } 47. Qb7+?? { [%eval 4.24] } 47... Kg6 { [%eval 4.1] } 48. Kc5 { [%eval 3.89] } 48... Rc2?! { [%eval 4.64] } 49. Qf3 { [%eval 4.46] } 49... Ra2 { [%eval 4.3] } 50. Qg3+ { [%eval 4.14] } 50... Kf7 { [%eval 4.1] } 51. Qc7+ { [%eval 4.07] } 51... Kg6 { [%eval 4.0] } 52. Qg3+ { [%eval 3.64] } 52... Kh6?! { [%eval 4.52] } 53. Qc7? { [%eval 3.4] } 53... Kg5?? { [%eval 8.71] } 0-1
